MAE ($),RMSE ($),MAPE (%),R²,Model,Time (s)
46.02,478.88,43.19,-2942.1242,ARIMA (auto),31.0
51.44,482.29,48.95,-2984.2225,"ARIMA(5,1,0)",18.0
1.83,2.31,1.72,0.9317,LSTM 2x50,28.7
1.28,1.57,1.22,0.9683,GRU 2x50,32.8
8.64,11.05,7.85,-0.5679,Random Forest,0.5
23.46,239.37,22.0,-734.3752,Avg(ARIMA+LSTM),
23.16,239.39,21.71,-734.4418,Avg(ARIMA+GRU),
17.86,159.45,16.64,-325.2791,Avg(ARIMA+LSTM+RF),
3.29,18.32,3.07,-3.3057,Weighted(ARIMA+LSTM),
2.94,11.44,2.72,-0.6793,Weighted(ARIMA+GRU+RF),
2.49,7.35,2.3,0.3072,Weighted(All 4),
3.3,18.36,3.08,-3.3238,Hybrid(ARIMA+LSTM),
2.26,12.98,2.11,-1.1639,Hybrid(ARIMA+GRU),
